timestep,label,choices-distribution
0,0,[103.  79.  88.  83. 108.]
0,1,[88. 75. 82. 85. 89.]
0,2,[94. 72. 90. 87. 88.]
0,3,[90. 92. 89. 72. 72.]
0,4,[80. 76. 74. 84. 82.]
0,5,[89. 68. 73. 74. 74.]
0,6,[0. 0. 0. 0. 0.]
10,0,[ 97.  64.  70.  96. 134.]
10,1,[ 86.  77.  48. 113.  96.]
10,2,[ 81.  71.  87.  76. 116.]
10,3,[ 78. 116.  82.  73.  65.]
10,4,[83. 85. 77. 82. 69.]
10,5,[89. 67. 70. 84. 68.]
10,6,[0. 0. 0. 0. 0.]
20,0,[119.  38.  44. 105. 155.]
20,1,[ 93.  52.  49. 118. 109.]
20,2,[ 74.  55.  95.  71. 135.]
20,3,[ 65. 145.  84.  58.  62.]
20,4,[88. 82. 87. 75. 64.]
20,5,[100.  64.  55.  95.  61.]
20,6,[0. 0. 1. 1. 1.]
30,0,[125.  29.  26. 112. 170.]
30,1,[ 93.  49.  38. 132. 109.]
30,2,[ 69.  40. 110.  52. 159.]
30,3,[ 57. 181.  75.  54.  47.]
30,4,[ 91.  80. 101.  66.  58.]
30,5,[113.  58.  59.  97.  48.]
30,6,[0. 0. 1. 0. 1.]
40,0,[132.  12.  15. 105. 199.]
40,1,[101.  28.  27. 153. 113.]
40,2,[ 63.  33.  96.  42. 197.]
40,3,[ 37. 214.  69.  52.  41.]
40,4,[ 93.  81. 112.  61.  49.]
40,5,[134.  36.  47. 108.  50.]
40,6,[0. 0. 0. 0. 0.]
50,0,[118.   6.   9. 102. 227.]
50,1,[ 97.  25.  16. 177. 108.]
50,2,[ 58.  20.  85.  28. 239.]
50,3,[ 28. 279.  46.  30.  30.]
50,4,[104.  83. 127.  49.  34.]
50,5,[140.  25.  51. 119.  39.]
50,6,[0. 0. 1. 0. 0.]
60,0,[ 95.   3.   6.  86. 273.]
60,1,[ 94.   9.   6. 209. 105.]
60,2,[ 42.  16.  69.  13. 290.]
60,3,[ 17. 345.  21.  17.  14.]
60,4,[106.  69. 153.  45.  23.]
60,5,[165.  21.  42. 118.  27.]
60,6,[1. 0. 0. 0. 0.]
70,0,[ 86.   2.   4.  56. 315.]
70,1,[ 86.   5.   3. 235.  94.]
70,2,[ 25.   6.  56.   5. 338.]
70,3,[ 10. 377.  11.   8.   6.]
70,4,[106.  73. 164.  39.  15.]
70,5,[183.  18.  26. 123.  23.]
70,6,[0. 1. 0. 0. 1.]
80,0,[ 65.   1.   1.  31. 366.]
80,1,[ 66.   2.   0. 272.  83.]
80,2,[ 12.   0.  29.   4. 384.]
80,3,[  3. 401.   4.   2.   3.]
80,4,[118.  65. 174.  30.  10.]
80,5,[211.  14.  14. 121.  13.]
80,6,[0. 0. 0. 0. 1.]
90,0,[ 38.   0.   0.  15. 411.]
90,1,[ 49.   2.   0. 316.  57.]
90,2,[  5.   0.  21.   2. 400.]
90,3,[  0. 409.   2.   0.   2.]
90,4,[112.  58. 200.  22.   3.]
90,5,[238.   6.   8. 113.   8.]
90,6,[0. 0. 2. 0. 1.]
100,0,[ 19.   0.   2.  11. 434.]
100,1,[ 35.   2.   0. 349.  38.]
100,2,[  3.   0.   8.   2. 413.]
