,timestep,num-issues,num-choices,num-labels,strenght-of-influence,multi-issue-discourse,ignorring,prob-droping-label,SW-index,cosine-similarity,change-rate
0,0,1,5,6,20,20,1,0.0001,0.9974531419251306,0.9955545805733612,0.0
1,10,1,5,6,20,20,1,0.0001,0.9878543824597076,0.9723086429778466,0.5908
2,20,1,5,6,20,20,1,0.0001,0.9646802976773288,0.9251595656294442,0.3736
3,30,1,5,6,20,20,1,0.0001,0.9322430164071082,0.8606275910305341,0.2892
4,40,1,5,6,20,20,1,0.0001,0.8775009800440419,0.7849364616858265,0.2704
5,50,1,5,6,20,20,1,0.0001,0.8024212730626576,0.6946029879094956,0.2184
6,60,1,5,6,20,20,1,0.0001,0.6900331592937721,0.6011724714412969,0.1968
7,70,1,5,6,20,20,1,0.0001,0.5907534160680034,0.5421930765601327,0.1544
8,80,1,5,6,20,20,1,0.0001,0.4702922530550111,0.4864513256015644,0.1292
9,90,1,5,6,20,20,1,0.0001,0.3725499482271428,0.4383656325062292,0.1048
10,100,1,5,6,20,20,1,0.0001,0.303837435767445,0.4077048762545964,0.0764
11,110,1,5,6,20,20,1,0.0001,0.237116055583347,0.3861837619500908,0.056
12,120,1,5,6,20,20,1,0.0001,0.1892376391972438,0.3702997822805031,0.0452
13,130,1,5,6,20,20,1,0.0001,0.1385811659259011,0.3562184649033426,0.0376
14,140,1,5,6,20,20,1,0.0001,0.1043019457295809,0.347596458699014,0.0236
15,150,1,5,6,20,20,1,0.0001,0.0707523692366175,0.3415244212917838,0.018
16,160,1,5,6,20,20,1,0.0001,0.0484580356501027,0.3384087657090671,0.0108
17,170,1,5,6,20,20,1,0.0001,0.0363616738528072,0.3366763868508309,0.0064
18,180,1,5,6,20,20,1,0.0001,0.0260959073964436,0.3356672460998083,0.0036
19,190,1,5,6,20,20,1,0.0001,0.0217439994276613,0.3351934875559377,0.0012
20,200,1,5,6,20,20,1,0.0001,0.0168921699522552,0.3348459346362335,0.0016
21,210,1,5,6,20,20,1,0.0001,0.0231598985481542,0.3355343135030438,0.0
22,220,1,5,6,20,20,1,0.0001,0.0343169463377782,0.3364805664576926,0.0
23,230,1,5,6,20,20,1,0.0001,0.0358555338045344,0.3366048330908905,0.0004
24,240,1,5,6,20,20,1,0.0001,0.0358753489298754,0.3366069369215529,0.0004
25,250,1,5,6,20,20,1,0.0001,0.0358907041899672,0.3366094215762552,0.0004
26,260,1,5,6,20,20,1,0.0001,0.038865452325138,0.3368105236066897,0.0012
27,270,1,5,6,20,20,1,0.0001,0.0403050305620087,0.3369121651570791,0.0012
28,280,1,5,6,20,20,1,0.0001,0.0429017282404733,0.3371513355811125,0.0
29,290,1,5,6,20,20,1,0.0001,0.0441849348218777,0.3373878134362399,0.0
30,300,1,5,6,20,20,1,0.0001,0.0517326638333661,0.3379776552854861,0.0
31,310,1,5,6,20,20,1,0.0001,0.0528389201279664,0.3382565924690288,0.0004
32,320,1,5,6,20,20,1,0.0001,0.0586058844687597,0.3391187626010336,0.0
33,330,1,5,6,20,20,1,0.0001,0.0586058844687597,0.3391187626010336,0.0
34,340,1,5,6,20,20,1,0.0001,0.0567966771231671,0.3389926943820866,0.0008
35,350,1,5,6,20,20,1,0.0001,0.0537542285509052,0.3386295499606811,0.0012
36,360,1,5,6,20,20,1,0.0001,0.0525029963278133,0.338395770506032,0.0004
37,370,1,5,6,20,20,1,0.0001,0.0539223506219887,0.3385135491897777,0.0004
38,380,1,5,6,20,20,1,0.0001,0.0550352256850144,0.338637343429434,0.0004
39,390,1,5,6,20,20,1,0.0001,0.0552301325089967,0.3387934961002786,0.0012
40,400,1,5,6,20,20,1,0.0001,0.05749320202828,0.3387914125565054,0.0008
41,410,1,5,6,20,20,1,0.0001,0.0569195220612651,0.338778318859549,0.0004
42,420,1,5,6,20,20,1,0.0001,0.0579689010277404,0.3388835008598612,0.0004
43,430,1,5,6,20,20,1,0.0001,0.0588123611313707,0.3392179357801568,0.0012
44,440,1,5,6,20,20,1,0.0001,0.0591346744734829,0.3392203312032876,0.0008
45,450,1,5,6,20,20,1,0.0001,0.0576157220636268,0.3392186222329953,0.0008
46,460,1,5,6,20,20,1,0.0001,0.0607070905748991,0.3394673738450263,0.0
47,470,1,5,6,20,20,1,0.0001,0.0656593580095869,0.3398308645106333,0.0
48,480,1,5,6,20,20,1,0.0001,0.0685869287430377,0.3401783610130099,0.0004
49,490,1,5,6,20,20,1,0.0001,0.068500722681655,0.3402953080900794,0.0008
50,500,1,5,6,20,20,1,0.0001,0.0657644334312118,0.3400493060050194,0.0012
51,600,1,5,6,20,20,1,0.0001,0.0730814174314345,0.3410585933930212,0.0048
52,700,1,5,6,20,20,1,0.0001,0.0864246509033421,0.3431422836251296,0.0036
53,800,1,5,6,20,20,1,0.0001,0.0993206362208642,0.3452305375271399,0.004
54,900,1,5,6,20,20,1,0.0001,0.1138985054358904,0.3467157795518227,0.0032
55,1000,1,5,6,20,20,1,0.0001,0.1202308879912817,0.3471252518862274,0.0036
56,1100,1,5,6,20,20,1,0.0001,0.1356295824759334,0.349040725657704,0.0032
57,1200,1,5,6,20,20,1,0.0001,0.1383891876629296,0.3492748992005555,0.0036
58,1300,1,5,6,20,20,1,0.0001,0.1402041148854489,0.3496915094470241,0.0036
59,1400,1,5,6,20,20,1,0.0001,0.1476662387648136,0.3510208699855112,0.004
60,1500,1,5,6,20,20,1,0.0001,0.1629767975701899,0.3536862455410353,0.0032
61,1600,1,5,6,20,20,1,0.0001,0.1717738076176621,0.3544596046574791,0.0044
62,1700,1,5,6,20,20,1,0.0001,0.1839857346585103,0.3567725436704477,0.0024
63,1800,1,5,6,20,20,1,0.0001,0.1905917803435877,0.3583379376580481,0.0032
64,1900,1,5,6,20,20,1,0.0001,0.1931706729078778,0.3593474333322484,0.004
65,2000,1,5,6,20,20,1,0.0001,0.2094057427304138,0.3622516998440751,0.0048
66,2100,1,5,6,20,20,1,0.0001,0.2237852527851487,0.3652207879544137,0.0024
67,2200,1,5,6,20,20,1,0.0001,0.2392122291635696,0.3684169121193798,0.0024
68,2300,1,5,6,20,20,1,0.0001,0.2509184943614728,0.3706715022372577,0.0032
69,2400,1,5,6,20,20,1,0.0001,0.2583541593758785,0.3727211165682703,0.0016
70,2500,1,5,6,20,20,1,0.0001,0.262269388768332,0.3739166938887375,0.002
71,2600,1,5,6,20,20,1,0.0001,0.2681743237171821,0.3755335555889069,0.0028
72,2700,1,5,6,20,20,1,0.0001,0.2845758121773212,0.3793387426567673,0.0028
73,2800,1,5,6,20,20,1,0.0001,0.2910332231737553,0.3811346966074168,0.0028
74,2900,1,5,6,20,20,1,0.0001,0.2951780080072051,0.3826797876705728,0.0036
75,3000,1,5,6,20,20,1,0.0001,0.2930049366788501,0.3828746977635502,0.0068
76,3100,1,5,6,20,20,1,0.0001,0.3056335566026625,0.3864631152989018,0.002
