timestep,num-issues,num-choices,num-labels,strenght-of-influence,multi-issue-discourse,ignorring,prob-droping-label,SW-index,cosine-similarity
0,1,2,2,20,20,1,0.0,0.9990781998413054,0.9995497028266612
0,1,2,6,20,20,0,0.0,0.997427656207965,0.9981085390874213
0,1,2,6,20,20,1,0.0,0.998346002579533,0.9984535063973186
0,1,2,10,20,20,0,0.0,0.9970827925149316,0.9968613504292188
0,1,2,10,20,20,1,0.0,0.9973105134565026,0.9969628697124836
0,1,5,2,20,20,0,0.0,0.9991174806319852,0.9991242778705112
0,1,5,2,20,20,1,0.0,0.9989475307094702,0.9992426552590036
0,1,5,6,20,20,0,0.0,0.9970218682655024,0.9931606777770756
0,1,5,6,20,20,1,0.0,0.9972107244892956,0.9933480210950356
0,1,5,10,20,20,0,0.0,0.9950749952194572,0.9876246276237012
0,1,5,10,20,20,1,0.0,0.9944593566098826,0.9859870377283008
0,1,10,2,20,20,0,0.0,0.9982714417024544,0.9971613566761224
0,1,10,2,20,20,1,0.0,0.9981108430888564,0.9968693953738162
0,1,10,6,20,20,0,0.0,0.9950355675717476,0.9840656413735664
0,1,10,6,20,20,1,0.0,0.995092282212425,0.9839107954375108
0,1,10,10,20,20,0,0.0,0.9916627793387504,0.97025543106334
0,1,10,10,20,20,1,0.0,0.9916733879553484,0.9701726917646142
0,5,2,2,20,20,0,0.0,0.9994652878500544,0.9997265993590791
0,5,2,2,20,20,1,0.0,0.999498708979464,0.9997985454832994
0,5,2,6,20,20,0,0.0,0.9981413904245904,0.99819304394082
0,5,2,6,20,20,1,0.0,0.9984604644764687,0.9984950616607274
0,5,2,10,20,20,0,0.0,0.997323296881654,0.9970660904466784
0,5,2,10,20,20,1,0.0,0.9970935740035208,0.9966588360634484
0,5,5,2,20,20,0,0.0,0.99890173064674,0.9988214139875804
0,5,5,2,20,20,1,0.0,0.9990225162101964,0.998893328200512
0,5,5,6,20,20,0,0.0,0.9970000231565648,0.993178339718092
0,5,5,6,20,20,1,0.0,0.9968777179470278,0.9927725824496432
0,5,5,10,20,20,0,0.0,0.9948587362706274,0.9867858474633798
0,5,5,10,20,20,1,0.0,0.994884156591522,0.987049708515666
0,5,10,2,20,20,0,0.0,0.9984451308152223,0.9974565990089204
0,5,10,2,20,20,1,0.0,0.9984946405526304,0.99751596557374
0,5,10,6,20,20,0,0.0,0.9953325520392632,0.9851106699210768
0,5,10,6,20,20,1,0.0,0.9950273575602604,0.9839024473894116
0,5,10,10,20,20,0,0.0,0.9917903482895511,0.970760066100704
0,5,10,10,20,20,1,0.0,0.9919891782982908,0.971784209578527
0,10,2,2,20,20,0,0.0,0.9993928757600342,0.999693894265139
0,10,2,2,20,20,1,0.0,0.9994119225927776,0.999703241201048
0,10,2,6,20,20,0,0.0,0.998313966614562,0.9983390739262468
0,10,2,6,20,20,1,0.0,0.9981600910284464,0.9982042082452416
0,10,2,10,20,20,0,0.0,0.997000690983946,0.9966764464147764
0,10,2,10,20,20,1,0.0,0.9970150406097512,0.9966099973571872
0,10,5,2,20,20,0,0.0,0.9990160589233475,0.9989929450409556
0,10,5,2,20,20,1,0.0,0.9990166555288832,0.998882235667742
0,10,5,6,20,20,0,0.0,0.9972106895700426,0.9937727281425592
0,10,5,6,20,20,1,0.0,0.9970376123698468,0.9932406002123004
0,10,5,10,20,20,0,0.0,0.9951365210109744,0.9875597412025696
0,10,5,10,20,20,1,0.0,0.9950778567546932,0.9874425827291186
0,10,10,2,20,20,0,0.0,0.9985503694752303,0.9979021936555452
0,10,10,2,20,20,1,0.0,0.9984911258899408,0.9977107292018232
0,10,10,6,20,20,0,0.0,0.9952459077531696,0.9849843927076328
0,10,10,6,20,20,1,0.0,0.9953749885138456,0.9851522489394884
0,10,10,10,20,20,0,0.0,0.9922280846645456,0.9718871420496268
0,10,10,10,20,20,1,0.0,0.9920837567390764,0.9717405982548852
200,1,2,2,20,20,0,0.0,0.0,0.9629629629629628
200,1,2,2,20,20,1,0.0,0.0,0.8518518518518517
200,1,2,6,20,20,0,0.0,0.0,1.0
200,1,2,6,20,20,1,0.0,0.0207026773716972,0.6942503455664025
200,1,2,10,20,20,0,0.0,0.0305781179547684,0.9489046026592552
200,1,2,10,20,20,1,0.0,0.1921415409883508,0.6253579017424707
200,1,5,2,20,20,0,0.0,0.0,0.9629629629629628
200,1,5,2,20,20,1,0.0,0.0,0.7407407407407407
200,1,5,6,20,20,0,0.0,0.0093962100075608,0.8662382387074976
200,1,5,6,20,20,1,0.0,0.0224689416076847,0.4247303022178876
200,1,5,10,20,20,0,0.0,0.0104950691787636,0.95068820997581
200,1,5,10,20,20,1,0.0,0.1535843239882306,0.3473206226432422
200,1,10,2,20,20,0,0.0,0.0,0.8888888888888888
200,1,10,2,20,20,1,0.0,0.0,0.7777777777777778
200,1,10,6,20,20,0,0.0,0.0095449771180329,0.8550488688510147
200,1,10,6,20,20,1,0.0,0.0262679123749544,0.3878275823662468
200,1,10,10,20,20,0,0.0,0.0318117329291449,0.8821741302880052
200,1,10,10,20,20,1,0.0,0.1300696467467735,0.2980604198017133
200,5,2,2,20,20,0,0.0,0.0,0.7777777777777778
200,5,2,2,20,20,1,0.0,0.0,0.8222222222222222
200,5,2,6,20,20,0,0.0,0.0599716209621838,0.6961923908570424
200,5,2,6,20,20,1,0.0,0.0867940058885404,0.667842484679292
200,5,2,10,20,20,0,0.0,0.2710932476732789,0.7009424913935542
200,5,2,10,20,20,1,0.0,0.2378762877884656,0.6435635684156211
200,5,5,2,20,20,0,0.0,0.0,0.7703703703703704
200,5,5,2,20,20,1,0.0,0.0,0.7333333333333333
200,5,5,6,20,20,0,0.0,0.0535742046208364,0.4979649232686566
200,5,5,6,20,20,1,0.0,0.0558049189321582,0.446236940825466
200,5,5,10,20,20,0,0.0,0.2510131953506728,0.4274198548656593
200,5,5,10,20,20,1,0.0,0.2635302411963153,0.4169032071315619
200,5,10,2,20,20,0,0.0,0.0,0.7259259259259259
200,5,10,2,20,20,1,0.0,0.0,0.6888888888888889
200,5,10,6,20,20,0,0.0,0.0561369975307762,0.393954907050037
200,5,10,6,20,20,1,0.0,0.04888099506234,0.3635809522128857
200,5,10,10,20,20,0,0.0,0.2619413685066334,0.3542132247635102
200,5,10,10,20,20,1,0.0,0.2342133008992137,0.3165658140209102
200,10,2,2,20,20,0,0.0,5.1841713864888894e-05,0.8444444432724232
200,10,2,2,20,20,1,0.0,0.0103489934690806,0.8331791696070346
200,10,2,6,20,20,0,0.0,0.1222112892838413,0.7136191840288725
200,10,2,6,20,20,1,0.0,0.1199860731538877,0.6720605289714213
200,10,2,10,20,20,0,0.0,0.3838578219941578,0.7337647346715774
200,10,2,10,20,20,1,0.0,0.3831361538264736,0.6946310509532051
200,10,5,2,20,20,0,0.0,0.0020909136254521,0.7296281874618842
200,10,5,2,20,20,1,0.0,0.0002302399349256,0.7185185185185186
200,10,5,6,20,20,0,0.0,0.13137941540071,0.4973910641198155
200,10,5,6,20,20,1,0.0,0.1242274918979388,0.442121101340769
200,10,5,10,20,20,0,0.0,0.3956559481255344,0.4870635603288569
200,10,5,10,20,20,1,0.0,0.3844634494037653,0.4516135310097711
200,10,10,2,20,20,0,0.0,0.0008433924261817,0.7222222222222222
200,10,10,2,20,20,1,0.0,0.0,0.7
200,10,10,6,20,20,0,0.0,0.1092393121294363,0.4097689932234501
200,10,10,6,20,20,1,0.0,0.1188228620728285,0.3686189632911165
200,10,10,10,20,20,0,0.0,0.404834506999743,0.3948094219234638
200,10,10,10,20,20,1,0.0,0.3971152315743473,0.3489392968308666
400,1,2,2,20,20,0,0.0,0.0,0.9666666666666666
400,1,2,2,20,20,1,0.0,0.0,0.8666666666666666
400,1,2,6,20,20,0,0.0,0.0,0.9571428571428572
400,1,2,6,20,20,1,0.0,0.0,0.6857142857142857
400,1,2,10,20,20,0,0.0,0.0,0.9454545454545455
400,1,2,10,20,20,1,0.0,0.021544258397874,0.5848868547448952
400,1,5,2,20,20,0,0.0,0.0,0.9666666666666666
400,1,5,2,20,20,1,0.0,0.0,0.7333333333333333
400,1,5,6,20,20,0,0.0,0.0,0.8380952380952381
400,1,5,6,20,20,1,0.0,0.0,0.419047619047619
400,1,5,10,20,20,0,0.0,0.0,0.9381818181818182
400,1,5,10,20,20,1,0.0,0.0019204857986959,0.3111470825911422
400,1,10,2,20,20,0,0.0,0.0,0.9
400,1,10,2,20,20,1,0.0,0.0,0.7666666666666666
400,1,10,6,20,20,0,0.0,0.0006418534074106,0.8335889354436595
400,1,10,6,20,20,1,0.0,0.0004748332697939,0.3715452034213525
400,1,10,10,20,20,0,0.0,0.0023929619036802,0.8798908029773103
400,1,10,10,20,20,1,0.0,0.0070206243665491,0.2739698842958037
400,5,2,2,20,20,0,0.0,0.0,0.7866666666666667
400,5,2,2,20,20,1,0.0,0.0,0.8333333333333333
400,5,2,6,20,20,0,0.0,0.0005579951890205,0.6857753249513758
400,5,2,6,20,20,1,0.0,0.0006423879731306,0.6448146138295219
400,5,2,10,20,20,0,0.0,0.0256914875911253,0.641005091816848
400,5,2,10,20,20,1,0.0,0.021876971343813,0.597997845650977
400,5,5,2,20,20,0,0.0,0.0,0.7666666666666667
400,5,5,2,20,20,1,0.0,0.0,0.74
400,5,5,6,20,20,0,0.0,0.0018081424754184,0.4888361880108037
400,5,5,6,20,20,1,0.0,0.0036536396881597,0.4383753159711258
400,5,5,10,20,20,0,0.0,0.0186457071256171,0.3695201152095416
400,5,5,10,20,20,1,0.0,0.0189567982159059,0.3541231603730737
400,5,10,2,20,20,0,0.0,0.0,0.72
400,5,10,2,20,20,1,0.0,0.0,0.6933333333333334
400,5,10,6,20,20,0,0.0,0.0003640781633076,0.3848112439227871
400,5,10,6,20,20,1,0.0,0.001216622048131,0.3573895922319873
400,5,10,10,20,20,0,0.0,0.0162219056804855,0.2989669016365779
400,5,10,10,20,20,1,0.0,0.0199919841892074,0.2765532511229277
400,10,2,2,20,20,0,0.0,0.0,0.8400000000000001
400,10,2,2,20,20,1,0.0,0.0,0.8433333333333334
400,10,2,6,20,20,0,0.0,0.0078218361958342,0.6941732772067758
400,10,2,6,20,20,1,0.0,0.0114484120631137,0.6520665573236623
400,10,2,10,20,20,0,0.0,0.0504083911071711,0.6578643274489187
400,10,2,10,20,20,1,0.0,0.0494988284218487,0.6069123322168217
400,10,5,2,20,20,0,0.0,0.0,0.7366666666666667
400,10,5,2,20,20,1,0.0,0.0,0.7166666666666667
400,10,5,6,20,20,0,0.0,0.0060940129029503,0.4697148016495553
400,10,5,6,20,20,1,0.0,0.0051772251682057,0.4166645510923651
400,10,5,10,20,20,0,0.0,0.0433187612267373,0.3906449415059083
400,10,5,10,20,20,1,0.0,0.0407046172444049,0.3540219803625662
400,10,10,2,20,20,0,0.0,0.0,0.72
400,10,10,2,20,20,1,0.0,0.0,0.7
400,10,10,6,20,20,0,0.0,0.0029515132967311,0.3970973818768171
400,10,10,6,20,20,1,0.0,0.0041708325741387,0.3505636470792699
400,10,10,10,20,20,0,0.0,0.0444639176574314,0.3060611944086374
400,10,10,10,20,20,1,0.0,0.0394342663692956,0.2680554737761544
600,1,2,2,20,20,0,0.0,0.0,0.9666666666666666
600,1,2,2,20,20,1,0.0,0.0,0.8666666666666666
600,1,2,6,20,20,0,0.0,0.0,0.9571428571428572
600,1,2,6,20,20,1,0.0,0.0,0.6857142857142857
600,1,2,10,20,20,0,0.0,0.0,0.9454545454545455
600,1,2,10,20,20,1,0.0,0.0016082302082246,0.5819464127813277
600,1,5,2,20,20,0,0.0,0.0,0.9666666666666666
600,1,5,2,20,20,1,0.0,0.0,0.7333333333333333
600,1,5,6,20,20,0,0.0,0.0,0.8380952380952381
600,1,5,6,20,20,1,0.0,0.0,0.419047619047619
600,1,5,10,20,20,0,0.0,0.0,0.9381818181818182
600,1,5,10,20,20,1,0.0,0.0,0.3109090909090909
600,1,10,2,20,20,0,0.0,0.0,0.9
600,1,10,2,20,20,1,0.0,0.0,0.7666666666666666
600,1,10,6,20,20,0,0.0,0.0,0.8333333333333333
600,1,10,6,20,20,1,0.0,0.0,0.3714285714285713
600,1,10,10,20,20,0,0.0,0.0,0.8781818181818182
600,1,10,10,20,20,1,0.0,0.0,0.2727272727272726
600,5,2,2,20,20,0,0.0,0.0,0.7866666666666667
600,5,2,2,20,20,1,0.0,0.0,0.8333333333333333
600,5,2,6,20,20,0,0.0,0.0,0.6857142857142857
600,5,2,6,20,20,1,0.0,0.0,0.6447619047619048
600,5,2,10,20,20,0,0.0,0.0061898589013103,0.6364755082142277
600,5,2,10,20,20,1,0.0,0.0037182149367767,0.5942117214535487
600,5,5,2,20,20,0,0.0,0.0,0.7666666666666667
600,5,5,2,20,20,1,0.0,0.0,0.74
600,5,5,6,20,20,0,0.0,0.0,0.4885714285714285
600,5,5,6,20,20,1,0.0,0.0002834612676986,0.438095238095238
600,5,5,10,20,20,0,0.0,0.0010894322352728,0.3659299814052497
600,5,5,10,20,20,1,0.0,0.0018091770755136,0.3489772709239448
600,5,10,2,20,20,0,0.0,0.0,0.72
600,5,10,2,20,20,1,0.0,0.0,0.6933333333333334
600,5,10,6,20,20,0,0.0,0.0,0.3847619047619047
600,5,10,6,20,20,1,0.0,0.0,0.3571428571428571
600,5,10,10,20,20,0,0.0,0.0008977018490365,0.2972053427558231
600,5,10,10,20,20,1,0.0,0.0027258029356101,0.273627721091487
600,10,2,2,20,20,0,0.0,0.0,0.8400000000000001
600,10,2,2,20,20,1,0.0,0.0,0.8433333333333334
600,10,2,6,20,20,0,0.0,0.00028408979517,0.6924155603824191
600,10,2,6,20,20,1,0.0,0.0020436777818564,0.6493558234033414
600,10,2,10,20,20,0,0.0,0.0046751428540347,0.6489075083783984
600,10,2,10,20,20,1,0.0,0.0076412984840163,0.596683918242716
600,10,5,2,20,20,0,0.0,0.0,0.7366666666666667
600,10,5,2,20,20,1,0.0,0.0,0.7166666666666667
600,10,5,6,20,20,0,0.0,0.0012655081979332,0.4691703326515097
600,10,5,6,20,20,1,0.0,0.0002414988254398,0.4162165481347697
600,10,5,10,20,20,0,0.0,0.0067851388141833,0.3831633863239205
600,10,5,10,20,20,1,0.0,0.0057305761338747,0.3466547633704547
600,10,10,2,20,20,0,0.0,0.0,0.72
600,10,10,2,20,20,1,0.0,0.0,0.7
600,10,10,6,20,20,0,0.0,0.0004444850844667,0.3971304038126244
600,10,10,6,20,20,1,0.0,0.0010304238752326,0.3508334275618893
600,10,10,10,20,20,0,0.0,0.0075828256854279,0.2978845590073155
600,10,10,10,20,20,1,0.0,0.0053322624574881,0.2630862402379794
800,1,2,2,20,20,0,0.0,0.0,0.9666666666666666
800,1,2,2,20,20,1,0.0,0.0,0.8666666666666666
800,1,2,6,20,20,0,0.0,0.0,0.9571428571428572
800,1,2,6,20,20,1,0.0,0.0,0.6857142857142857
800,1,2,10,20,20,0,0.0,0.0,0.9454545454545455
800,1,2,10,20,20,1,0.0,0.0,0.5818181818181818
800,1,5,2,20,20,0,0.0,0.0,0.9666666666666666
800,1,5,2,20,20,1,0.0,0.0,0.7333333333333333
800,1,5,6,20,20,0,0.0,0.0,0.8380952380952381
800,1,5,6,20,20,1,0.0,0.0,0.419047619047619
800,1,5,10,20,20,0,0.0,0.0,0.9381818181818182
800,1,5,10,20,20,1,0.0,0.0,0.3109090909090909
800,1,10,2,20,20,0,0.0,0.0,0.9
800,1,10,2,20,20,1,0.0,0.0,0.7666666666666666
800,1,10,6,20,20,0,0.0,0.0,0.8333333333333333
800,1,10,6,20,20,1,0.0,0.0,0.3714285714285713
800,1,10,10,20,20,0,0.0,0.0,0.8781818181818182
800,1,10,10,20,20,1,0.0,0.0,0.2727272727272726
800,5,2,2,20,20,0,0.0,0.0,0.7866666666666667
800,5,2,2,20,20,1,0.0,0.0,0.8333333333333333
800,5,2,6,20,20,0,0.0,0.0,0.6857142857142857
800,5,2,6,20,20,1,0.0,0.0,0.6447619047619048
800,5,2,10,20,20,0,0.0,0.0013576114130942,0.6354976963153487
800,5,2,10,20,20,1,0.0,0.0016259198097894,0.593593378224168
800,5,5,2,20,20,0,0.0,0.0,0.7666666666666667
800,5,5,2,20,20,1,0.0,0.0,0.74
800,5,5,6,20,20,0,0.0,0.0,0.4885714285714285
800,5,5,6,20,20,1,0.0,0.0,0.438095238095238
800,5,5,10,20,20,0,0.0,0.0,0.3658181818181817
800,5,5,10,20,20,1,0.0,8.55355898314e-05,0.3487319535484451
800,5,10,2,20,20,0,0.0,0.0,0.72
800,5,10,2,20,20,1,0.0,0.0,0.6933333333333334
800,5,10,6,20,20,0,0.0,0.0,0.3847619047619047
800,5,10,6,20,20,1,0.0,0.0,0.3571428571428571
800,5,10,10,20,20,0,0.0,0.0005236035576735,0.2970031302405631
800,5,10,10,20,20,1,0.0,0.0008155345729809,0.2734796779728016
800,10,2,2,20,20,0,0.0,0.0,0.8400000000000001
800,10,2,2,20,20,1,0.0,0.0,0.8433333333333334
800,10,2,6,20,20,0,0.0,0.0,0.6923809523809524
800,10,2,6,20,20,1,0.0,0.0014284083179815,0.6490263898782935
800,10,2,10,20,20,0,0.0,0.0006663674818269,0.6484248737390772
800,10,2,10,20,20,1,0.0,0.001382566125164,0.5953859012319104
800,10,5,2,20,20,0,0.0,0.0,0.7366666666666667
800,10,5,2,20,20,1,0.0,0.0,0.7166666666666667
800,10,5,6,20,20,0,0.0,0.0,0.469047619047619
800,10,5,6,20,20,1,0.0,0.0,0.4161904761904761
800,10,5,10,20,20,0,0.0,0.0021459374226647,0.3822673055538729
800,10,5,10,20,20,1,0.0,0.0009237375750243,0.3456152976236709
800,10,10,2,20,20,0,0.0,0.0,0.72
800,10,10,2,20,20,1,0.0,0.0,0.7
800,10,10,6,20,20,0,0.0,0.0,0.3971428571428571
800,10,10,6,20,20,1,0.0,0.0001129200786093,0.3509567795846742
800,10,10,10,20,20,0,0.0,0.0014937557942838,0.2965514369409486
800,10,10,10,20,20,1,0.0,0.0012566069578522,0.2627255354699746
1000,1,2,2,20,20,0,0.0,0.0,0.9666666666666666
1000,1,2,2,20,20,1,0.0,0.0,0.8666666666666666
1000,1,2,6,20,20,0,0.0,0.0,0.9571428571428572
1000,1,2,6,20,20,1,0.0,0.0,0.6857142857142857
1000,1,2,10,20,20,0,0.0,0.0,0.9454545454545455
1000,1,2,10,20,20,1,0.0,0.0,0.5818181818181818
1000,1,5,2,20,20,0,0.0,0.0,0.9666666666666666
1000,1,5,2,20,20,1,0.0,0.0,0.7333333333333333
1000,1,5,6,20,20,0,0.0,0.0,0.8380952380952381
1000,1,5,6,20,20,1,0.0,0.0,0.419047619047619
1000,1,5,10,20,20,0,0.0,0.0,0.9381818181818182
1000,1,5,10,20,20,1,0.0,0.0,0.3109090909090909
1000,1,10,2,20,20,0,0.0,0.0,0.9
1000,1,10,2,20,20,1,0.0,0.0,0.7666666666666666
1000,1,10,6,20,20,0,0.0,0.0,0.8333333333333333
1000,1,10,6,20,20,1,0.0,0.0,0.3714285714285713
1000,1,10,10,20,20,0,0.0,0.0,0.8781818181818182
1000,1,10,10,20,20,1,0.0,0.0,0.2727272727272726
1000,5,2,2,20,20,0,0.0,0.0,0.7866666666666667
1000,5,2,2,20,20,1,0.0,0.0,0.8333333333333333
1000,5,2,6,20,20,0,0.0,0.0,0.6857142857142857
1000,5,2,6,20,20,1,0.0,0.0,0.6447619047619048
1000,5,2,10,20,20,0,0.0,0.0,0.6352727272727272
1000,5,2,10,20,20,1,0.0,0.0003866474447558,0.5931460191311898
1000,5,5,2,20,20,0,0.0,0.0,0.7666666666666667
1000,5,5,2,20,20,1,0.0,0.0,0.74
1000,5,5,6,20,20,0,0.0,0.0,0.4885714285714285
1000,5,5,6,20,20,1,0.0,0.0,0.438095238095238
1000,5,5,10,20,20,0,0.0,0.0,0.3658181818181817
1000,5,5,10,20,20,1,0.0,0.0,0.3487272727272726
1000,5,10,2,20,20,0,0.0,0.0,0.72
1000,5,10,2,20,20,1,0.0,0.0,0.6933333333333334
1000,5,10,6,20,20,0,0.0,0.0,0.3847619047619047
1000,5,10,6,20,20,1,0.0,0.0,0.3571428571428571
1000,5,10,10,20,20,0,0.0,0.0001568820029754,0.2967607520693453
1000,5,10,10,20,20,1,0.0,4.447741689688e-05,0.2734545305648409
1000,10,2,2,20,20,0,0.0,0.0,0.8400000000000001
1000,10,2,2,20,20,1,0.0,0.0,0.8433333333333334
1000,10,2,6,20,20,0,0.0,0.0,0.6923809523809524
1000,10,2,6,20,20,1,0.0,0.00033877542211,0.6486177880938598
1000,10,2,10,20,20,0,0.0,0.0,0.6483636363636365
1000,10,2,10,20,20,1,0.0,0.0009873267857661,0.5953795052405935
1000,10,5,2,20,20,0,0.0,0.0,0.7366666666666667
1000,10,5,2,20,20,1,0.0,0.0,0.7166666666666667
1000,10,5,6,20,20,0,0.0,0.0,0.469047619047619
1000,10,5,6,20,20,1,0.0,0.0,0.4161904761904761
1000,10,5,10,20,20,0,0.0,0.0006275028285834,0.3817495946978775
1000,10,5,10,20,20,1,0.0,0.0004210882300377,0.3455705235847349
1000,10,10,2,20,20,0,0.0,0.0,0.72
1000,10,10,2,20,20,1,0.0,0.0,0.7
1000,10,10,6,20,20,0,0.0,0.0,0.3971428571428571
1000,10,10,6,20,20,1,0.0,0.0,0.3509523809523809
1000,10,10,10,20,20,0,0.0,0.0003344823560751,0.2962483442583131
1000,10,10,10,20,20,1,0.0,0.0003393384127847,0.2625287164048696
1200,1,2,2,20,20,0,0.0,0.0,0.9666666666666666
1200,1,2,2,20,20,1,0.0,0.0,0.8666666666666666
1200,1,2,6,20,20,0,0.0,0.0,0.9571428571428572
1200,1,2,6,20,20,1,0.0,0.0,0.6857142857142857
1200,1,2,10,20,20,0,0.0,0.0,0.9454545454545455
1200,1,2,10,20,20,1,0.0,0.0,0.5818181818181818
1200,1,5,2,20,20,0,0.0,0.0,0.9666666666666666
1200,1,5,2,20,20,1,0.0,0.0,0.7333333333333333
1200,1,5,6,20,20,0,0.0,0.0,0.8380952380952381
1200,1,5,6,20,20,1,0.0,0.0,0.419047619047619
1200,1,5,10,20,20,0,0.0,0.0,0.9381818181818182
1200,1,5,10,20,20,1,0.0,0.0,0.3109090909090909
1200,1,10,2,20,20,0,0.0,0.0,0.9
1200,1,10,2,20,20,1,0.0,0.0,0.7666666666666666
1200,1,10,6,20,20,0,0.0,0.0,0.8333333333333333
1200,1,10,6,20,20,1,0.0,0.0,0.3714285714285713
1200,1,10,10,20,20,0,0.0,0.0,0.8781818181818182
1200,1,10,10,20,20,1,0.0,0.0,0.2727272727272726
1200,5,2,2,20,20,0,0.0,0.0,0.7866666666666667
1200,5,2,2,20,20,1,0.0,0.0,0.8333333333333333
1200,5,2,6,20,20,0,0.0,0.0,0.6857142857142857
1200,5,2,6,20,20,1,0.0,0.0,0.6447619047619048
1200,5,2,10,20,20,0,0.0,0.0,0.6352727272727272
1200,5,2,10,20,20,1,0.0,0.0,0.5930909090909091
1200,5,5,2,20,20,0,0.0,0.0,0.7666666666666667
1200,5,5,2,20,20,1,0.0,0.0,0.74
1200,5,5,6,20,20,0,0.0,0.0,0.4885714285714285
1200,5,5,6,20,20,1,0.0,0.0,0.438095238095238
1200,5,5,10,20,20,0,0.0,0.0,0.3658181818181817
1200,5,5,10,20,20,1,0.0,0.0,0.3487272727272726
1200,5,10,2,20,20,0,0.0,0.0,0.72
1200,5,10,2,20,20,1,0.0,0.0,0.6933333333333334
1200,5,10,6,20,20,0,0.0,0.0,0.3847619047619047
1200,5,10,6,20,20,1,0.0,0.0,0.3571428571428571
1200,5,10,10,20,20,0,0.0,0.0,0.2967272727272726
1200,5,10,10,20,20,1,0.0,0.0,0.2734545454545454
1200,10,2,2,20,20,0,0.0,0.0,0.8400000000000001
1200,10,2,2,20,20,1,0.0,0.0,0.8433333333333334
1200,10,2,6,20,20,0,0.0,0.0,0.6923809523809524
1200,10,2,6,20,20,1,0.0,0.0,0.6485714285714286
1200,10,2,10,20,20,0,0.0,0.0,0.6483636363636365
1200,10,2,10,20,20,1,0.0,0.0009334096605292,0.5954009807255635
1200,10,5,2,20,20,0,0.0,0.0,0.7366666666666667
1200,10,5,2,20,20,1,0.0,0.0,0.7166666666666667
1200,10,5,6,20,20,0,0.0,0.0,0.469047619047619
1200,10,5,6,20,20,1,0.0,0.0,0.4161904761904761
1200,10,5,10,20,20,0,0.0,4.5417094530260006e-05,0.3816414739948804
1200,10,5,10,20,20,1,0.0,0.0001727250497581,0.3456343306647705
1200,10,10,2,20,20,0,0.0,0.0,0.72
1200,10,10,2,20,20,1,0.0,0.0,0.7
1200,10,10,6,20,20,0,0.0,0.0,0.3971428571428571
1200,10,10,6,20,20,1,0.0,0.0,0.3509523809523809
1200,10,10,10,20,20,0,0.0,4.710850398795e-05,0.2961860453686815
1200,10,10,10,20,20,1,0.0,0.0001966282123145,0.2624320278848183
1400,1,2,2,20,20,0,0.0,0.0,0.9666666666666666
1400,1,2,2,20,20,1,0.0,0.0,0.8666666666666666
1400,1,2,6,20,20,0,0.0,0.0,0.9571428571428572
1400,1,2,6,20,20,1,0.0,0.0,0.6857142857142857
1400,1,2,10,20,20,0,0.0,0.0,0.9454545454545455
1400,1,2,10,20,20,1,0.0,0.0,0.5818181818181818
1400,1,5,2,20,20,0,0.0,0.0,0.9666666666666666
1400,1,5,2,20,20,1,0.0,0.0,0.7333333333333333
1400,1,5,6,20,20,0,0.0,0.0,0.8380952380952381
1400,1,5,6,20,20,1,0.0,0.0,0.419047619047619
1400,1,5,10,20,20,0,0.0,0.0,0.9381818181818182
1400,1,5,10,20,20,1,0.0,0.0,0.3109090909090909
