timestep,num-issues,num-choices,num-labels,strenght-of-influence, multi-issue-discourse,ignorring,prob-droping-label,SW-index,cosine-similarity
200,1,2,2,5,5,0,0.0,0.0,1.0
400,1,2,2,5,5,0,0.0,0.0,1.0
600,1,2,2,5,5,0,0.0,0.0,1.0
800,1,2,2,5,5,0,0.0,0.0,1.0
1000,1,2,2,5,5,0,0.0,0.0,1.0
1200,1,2,2,5,5,0,0.0,0.0,1.0
1400,1,2,2,5,5,0,0.0,0.0,1.0
1600,1,2,2,5,5,0,0.0,0.0,1.0
1800,1,2,2,5,5,0,0.0,0.0,1.0
2000,1,2,2,5,5,0,0.0,0.0,1.0
0,1,2,2,5,5,1,0.0,0.999295535,0.9994766666666668
200,1,2,2,5,5,1,0.0,0.0,0.6666666666666666
400,1,2,2,5,5,1,0.0,0.0,0.6666666666666666
600,1,2,2,5,5,1,0.0,0.0,0.6666666666666666
800,1,2,2,5,5,1,0.0,0.0,0.6666666666666666
1000,1,2,2,5,5,1,0.0,0.0,0.6666666666666666
1200,1,2,2,5,5,1,0.0,0.0,0.6666666666666666
1400,1,2,2,5,5,1,0.0,0.0,0.6666666666666666
1600,1,2,2,5,5,1,0.0,0.0,0.6666666666666666
1800,1,2,2,5,5,1,0.0,0.0,0.6666666666666666
2000,1,2,2,5,5,1,0.0,0.0,0.6666666666666666
0,1,2,6,5,5,0,0.0,0.9952542283333332,0.9944842857142856
200,1,2,6,5,5,0,0.0,0.0,1.0
400,1,2,6,5,5,0,0.0,0.0,1.0
600,1,2,6,5,5,0,0.0,0.0,1.0
800,1,2,6,5,5,0,0.0,0.0,1.0
1000,1,2,6,5,5,0,0.0,0.0,1.0
1200,1,2,6,5,5,0,0.0,0.0,1.0
1400,1,2,6,5,5,0,0.0,0.0,1.0
1600,1,2,6,5,5,0,0.0,0.0,1.0
1800,1,2,6,5,5,0,0.0,0.0,1.0
2000,1,2,6,5,5,0,0.0,0.0,1.0
0,1,2,6,5,5,1,0.0,0.99687146,0.9963357142857144
200,1,2,6,5,5,1,0.0,0.0,0.6190476190476191
400,1,2,6,5,5,1,0.0,0.0,0.6190476190476191
600,1,2,6,5,5,1,0.0,0.0,0.6190476190476191
800,1,2,6,5,5,1,0.0,0.0,0.6190476190476191
1000,1,2,6,5,5,1,0.0,0.0,0.6190476190476191
1200,1,2,6,5,5,1,0.0,0.0,0.6190476190476191
1400,1,2,6,5,5,1,0.0,0.0,0.6190476190476191
1600,1,2,6,5,5,1,0.0,0.0,0.6190476190476191
1800,1,2,6,5,5,1,0.0,0.0,0.6190476190476191
2000,1,2,6,5,5,1,0.0,0.0,0.6190476190476191
0,1,2,10,5,5,0,0.0,0.9984914929999998,0.998207818181818
200,1,2,10,5,5,0,0.0,0.0,1.0
400,1,2,10,5,5,0,0.0,0.0,1.0
600,1,2,10,5,5,0,0.0,0.0,1.0
800,1,2,10,5,5,0,0.0,0.0,1.0
1000,1,2,10,5,5,0,0.0,0.0,1.0
1200,1,2,10,5,5,0,0.0,0.0,1.0
1400,1,2,10,5,5,0,0.0,0.0,1.0
1600,1,2,10,5,5,0,0.0,0.0,1.0
1800,1,2,10,5,5,0,0.0,0.0,1.0
2000,1,2,10,5,5,0,0.0,0.0,1.0
0,1,2,10,5,5,1,0.0,0.996227496,0.9957605454545456
200,1,2,10,5,5,1,0.0,0.170991776,0.7546996363636365
400,1,2,10,5,5,1,0.0,0.0,0.7090909090909091
600,1,2,10,5,5,1,0.0,0.0,0.7090909090909091
800,1,2,10,5,5,1,0.0,0.0,0.7090909090909091
1000,1,2,10,5,5,1,0.0,0.0,0.7090909090909091
1200,1,2,10,5,5,1,0.0,0.0,0.7090909090909091
